"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"1","-1.8914771","7.884347","8.76544","0.0","0.0","0.0","8.0","Immobile"
"1","-3.3926873","6.2107487","1.1492519","0.0","0.0","0.0","167.0","Immobile"
"1","-4.802915","7.5922456","1.9130256","0.0","0.0","0.0","348.0","Immobile"
"1","-4.802915","7.5922456","1.9130256","-0.007832514","0.36767796","-0.53822356","348.0","Immobile"
"1","-5.33205","8.152506","1.5395187","-0.007832514","0.36767796","-0.53822356","529.0","Immobile"
"1","-5.33205","8.152506","1.5395187","0.65862143","0.062856205","-0.06968995","530.0","Immobile"
"1","-5.1045938","8.150111","2.238647","0.65862143","0.062856205","-0.06968995","714.0","Immobile"
"1","-5.1045938","8.150111","2.238647","-0.1715444","-0.28778046","-0.19430646","717.0","Immobile"
"1","-5.6552773","7.702382","2.0806248","-0.1715444","-0.28778046","-0.19430646","894.0","Immobile"
"1","-5.6552773","7.702382","2.0806248","-0.026158473","-0.17599212","-0.02876198","896.0","Immobile"
"1","-5.6552773","7.702382","2.0806248","0.46497717","0.9199001","0.067143865","1074.0","Immobile"
"1","-4.1971636","8.219545","0.24182175","0.46497717","0.9199001","0.067143865","1076.0","Immobile"
"1","-5.025583","8.502069","-0.25379312","0.46497717","0.9199001","0.067143865","1253.0","Immobile"
"1","-5.025583","8.502069","-0.25379312","0.29882184","0.39699948","-0.010436022","1256.0","Immobile"
"1","-4.0822387","7.125362","-1.934574","0.29882184","0.39699948","-0.010436022","1433.0","Immobile"
"1","-4.0822387","7.125362","-1.934574","0.41427535","0.76779467","-0.26944286","1436.0","Immobile"
"1","-4.6736245","7.922655","-4.1947694","0.41427535","0.76779467","-0.26944286","1613.0","Immobile"
"1","-4.6736245","7.922655","-4.1947694","0.18397917","0.48862928","-0.13688514","1616.0","Immobile"
"1","-2.7414446","9.598648","-5.140508","0.18397917","0.48862928","-0.13688514","1793.0","Immobile"
"1","-2.7414446","9.598648","-5.140508","0.19802907","1.0836121","0.79651695","1796.0","Immobile"
"1","-2.2721667","8.985713","-4.0798445","0.19802907","1.0836121","0.79651695","1973.0","Immobile"
"1","-2.2721667","8.985713","-4.0798445","-0.043873563","-0.5229636","1.0182611","1976.0","Immobile"
"1","1.5993756","9.3592205","-4.3025117","-0.043873563","-0.5229636","1.0182611","2150.0","Immobile"
"1","1.5993756","9.3592205","-4.3025117","-0.28272188","-0.5956566","1.1984663","2151.0","Immobile"
"1","0.69194543","9.318518","-1.0055954","-0.28272188","-0.5956566","1.1984663","2333.0","Immobile"
"1","0.69194543","9.318518","-1.0055954","-0.59609574","-0.23463517","0.096465394","2336.0","Immobile"
"1","-0.5243462","8.372779","-5.7534423","-0.59609574","-0.23463517","0.096465394","2513.0","Immobile"
"1","-0.5243462","8.372779","-5.7534423","0.92984563","-0.18271163","-0.5803733","2516.0","Immobile"
"1","0.009577099","9.423865","-2.2697725","0.92984563","-0.18271163","-0.5803733","2693.0","Immobile"
"1","0.009577099","9.423865","-2.2697725","-1.147707","-0.20958969","-0.33114028","2696.0","Immobile"
"1","1.0534809","8.74868","-0.07422252","-1.147707","-0.20958969","-0.33114028","2873.0","Immobile"
"1","1.0534809","8.74868","-0.07422252","-0.11290134","0.0946212","0.28888795","2876.0","Immobile"
"1","-3.1580484","9.059936","-1.3551595","-0.11290134","0.0946212","0.28888795","3053.0","Immobile"
"1","-3.1580484","9.059936","-1.3551595","-0.11839912","-0.24501988","-1.0605134","3056.0","Immobile"
"1","-3.1580484","9.059936","-1.3551595","-0.15382932","0.061023604","0.2791141","3233.0","Immobile"
"1","3.4286015","9.3592205","-1.462902","-0.15382932","0.061023604","0.2791141","3235.0","Immobile"
"1","-10.826911","9.160496","4.103787","-0.15382932","0.061023604","0.2791141","3413.0","Immobile"
"1","-10.826911","9.160496","4.103787","0.77040976","1.1477529","-1.8619686","3416.0","Immobile"
"1","-0.5219519","9.160496","-2.5187771","0.77040976","1.1477529","-1.8619686","3593.0","Immobile"
"1","-0.5219519","9.160496","-2.5187771","-0.033488855","-0.15094665","-0.2303475","3596.0","Immobile"
"1","-0.5219519","9.160496","-2.5187771","-0.11900999","0.044530243","-0.49607387","3778.0","Immobile"
"1","-0.43815228","10.719169","-2.49244","-0.11900999","0.044530243","-0.49607387","3780.0","Immobile"
"1","0.71828246","10.084685","-1.951334","-0.11900999","0.044530243","-0.49607387","3954.0","Immobile"
"1","0.71828246","10.084685","-1.951334","-0.013941167","0.18930532","-0.050753128","3957.0","Immobile"
