"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"3","-1.5227587","4.9872746","7.49408","0.0","0.0","0.0","345.0","Monter"
"3","-1.5227587","4.9872746","7.49408","0.12289265","0.032923806","0.15388674","345.0","Monter"
"3","-1.5227587","4.9872746","7.49408","0.017823827","-0.21692008","-0.160098","524.0","Monter"
"3","-1.5227587","4.9872746","7.49408","0.017823827","-0.21692008","-0.160098","546.0","Monter"
"3","-1.5227587","4.9872746","7.49408","0.017823827","-0.21692008","-0.160098","546.0","Monter"
"3","-1.1923488","5.935407","6.136526","0.017823827","-0.21692008","-0.160098","546.0","Monter"
"3","-1.3168511","6.1556807","5.741471","0.017823827","-0.21692008","-0.160098","547.0","Monter"
"3","-0.83081335","6.124555","7.292961","0.017823827","-0.21692008","-0.160098","547.0","Monter"
"3","-0.75659084","6.0096297","8.291373","0.017823827","-0.21692008","-0.160098","547.0","Monter"
"3","-0.845179","5.803722","8.674458","0.017823827","-0.21692008","-0.160098","547.0","Monter"
"3","-0.70631105","5.607392","7.8987126","0.017823827","-0.21692008","-0.160098","548.0","Monter"
"3","-1.2569942","5.2697988","7.8891354","0.017823827","-0.21692008","-0.160098","548.0","Monter"
"3","-1.1061549","5.152479","7.800547","0.017823827","-0.21692008","-0.160098","548.0","Monter"
"3","-1.1061549","5.152479","7.800547","0.34219328","-0.17354864","-0.4435395","710.0","Monter"
"3","-1.211503","8.281796","9.119793","0.34219328","-0.17354864","-0.4435395","754.0","Monter"
"3","-0.7948992","6.7279124","8.755863","0.34219328","-0.17354864","-0.4435395","757.0","Monter"
"3","0.12450229","4.450957","8.906702","0.34219328","-0.17354864","-0.4435395","760.0","Monter"
"3","0.6440599","3.8452053","8.186026","0.34219328","-0.17354864","-0.4435395","763.0","Monter"
"3","1.2617828","4.98488","7.3025384","0.34219328","-0.17354864","-0.4435395","765.0","Monter"
"3","-0.17957062","6.488485","6.7805862","0.34219328","-0.17354864","-0.4435395","768.0","Monter"
"3","-2.2625897","5.157268","6.9074826","0.34219328","-0.17354864","-0.4435395","770.0","Monter"
"3","-4.008016","5.238673","5.827665","0.34219328","-0.17354864","-0.4435395","772.0","Monter"
"3","-2.0854135","4.6496816","6.6632667","0.34219328","-0.17354864","-0.4435395","774.0","Monter"
"3","-0.9505271","4.168432","7.4030976","0.34219328","-0.17354864","-0.4435395","775.0","Monter"
"3","-0.9505271","4.168432","7.4030976","0.15221418","-1.5950321","-0.49301955","891.0","Monter"
"3","-1.4293821","5.516409","7.6185822","0.15221418","-1.5950321","-0.49301955","952.0","Monter"
"3","-2.1237218","5.3799353","6.7734036","0.15221418","-1.5950321","-0.49301955","955.0","Monter"
"3","-0.9194015","4.7741838","5.339233","0.15221418","-1.5950321","-0.49301955","957.0","Monter"
"3","1.4221992","5.4326096","6.3903193","0.15221418","-1.5950321","-0.49301955","960.0","Monter"
"3","3.9050622","6.0766697","6.708758","0.15221418","-1.5950321","-0.49301955","963.0","Monter"
"3","0.105348095","4.5706706","7.6449194","0.15221418","-1.5950321","-0.49301955","965.0","Monter"
"3","-0.7446195","4.592219","7.309721","0.15221418","-1.5950321","-0.49301955","967.0","Monter"
"3","-2.2003386","4.7741838","5.7558365","0.15221418","-1.5950321","-0.49301955","970.0","Monter"
"3","-11.657724","6.7446723","3.4190245","0.15221418","-1.5950321","-0.49301955","972.0","Monter"
"3","-5.521198","4.9872746","5.29853","0.15221418","-1.5950321","-0.49301955","975.0","Monter"
"3","-5.521198","4.9872746","5.29853","-1.4812396","-0.92124766","0.21130806","1071.0","Monter"
"3","2.3751206","3.0431232","8.269825","-1.4812396","-0.92124766","0.21130806","1156.0","Monter"
"3","7.0942364","3.1029801","12.665713","-1.4812396","-0.92124766","0.21130806","1159.0","Monter"
"3","5.686403","3.1029801","14.945064","-1.4812396","-0.92124766","0.21130806","1161.0","Monter"
"3","-1.0391153","1.9704882","10.740717","-1.4812396","-0.92124766","0.21130806","1164.0","Monter"
"3","-2.6265194","0.84278476","7.292961","-1.4812396","-0.92124766","0.21130806","1166.0","Monter"
"3","0.2777359","1.8962656","8.9498","-1.4812396","-0.92124766","0.21130806","1169.0","Monter"
