"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"1","0.0","0.0","0.0","-0.20269853","1.0017561","-2.4856622","334.0","Monter"
"1","4.2211065","1.5490957","8.492493","-0.20269853","1.0017561","-2.4856622","357.0","Monter"
"1","4.2211065","1.5490957","8.492493","-0.43788165","1.4635702","-1.2401078","515.0","Monter"
"1","4.2211065","1.5490957","8.492493","-0.43788165","1.4635702","-1.2401078","557.0","Monter"
"1","4.2211065","1.5490957","8.492493","-0.43788165","1.4635702","-1.2401078","557.0","Monter"
"1","-0.845179","5.504438","9.143736","-0.43788165","1.4635702","-1.2401078","558.0","Monter"
"1","1.1085492","4.896292","9.550762","-0.43788165","1.4635702","-1.2401078","558.0","Monter"
"1","2.813273","4.268992","8.923462","-0.43788165","1.4635702","-1.2401078","558.0","Monter"
"1","2.9808722","3.2011454","7.4988685","-0.43788165","1.4635702","-1.2401078","558.0","Monter"
"1","1.7190893","1.9752767","9.3592205","-0.43788165","1.4635702","-1.2401078","558.0","Monter"
"1","1.9728824","3.7183087","7.7071705","-0.43788165","1.4635702","-1.2401078","559.0","Monter"
"1","3.2083282","3.605778","10.40073","-0.43788165","1.4635702","-1.2401078","559.0","Monter"
"1","2.0973847","3.8380225","10.156514","-0.43788165","1.4635702","-1.2401078","559.0","Monter"
"1","2.0973847","3.8380225","10.156514","-0.40611666","0.38417134","-0.26516685","697.0","Monter"
"1","2.1189332","3.727886","10.228342","-0.40611666","0.38417134","-0.26516685","759.0","Monter"
"1","0.82602483","2.3296294","3.955342","-0.40611666","0.38417134","-0.26516685","761.0","Monter"
"1","1.5323359","2.52596","9.57231","-0.40611666","0.38417134","-0.26516685","762.0","Monter"
"1","1.3120626","3.387899","10.125388","-0.40611666","0.38417134","-0.26516685","763.0","Monter"
"1","1.8052832","3.1029801","9.871595","-0.40611666","0.38417134","-0.26516685","765.0","Monter"
"1","2.5092","3.0957973","9.953","-0.40611666","0.38417134","-0.26516685","766.0","Monter"
