"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"2","0.0","0.0","0.0","-0.49469212","-0.6194803","-0.9584989","347.0","Marcher"
"2","-1.4605076","7.048745","3.7685885","-0.49469212","-0.6194803","-0.9584989","366.0","Marcher"
"2","-1.4605076","7.048745","3.7685885","1.1631962","0.74885786","-0.21935193","528.0","Marcher"
"2","-1.4605076","7.048745","3.7685885","1.1631962","0.74885786","-0.21935193","569.0","Marcher"
"2","-1.4605076","7.048745","3.7685885","1.1631962","0.74885786","-0.21935193","572.0","Marcher"
"2","-6.759038","4.886715","12.373612","1.1631962","0.74885786","-0.21935193","574.0","Marcher"
"2","-8.502069","5.7893567","19.645025","1.1631962","0.74885786","-0.21935193","576.0","Marcher"
"2","-5.6385174","5.5978146","8.317711","1.1631962","0.74885786","-0.21935193","578.0","Marcher"
"2","0.9122187","4.790944","1.9441512","1.1631962","0.74885786","-0.21935193","581.0","Marcher"
"2","0.89067024","7.2426815","-3.962525","1.1631962","0.74885786","-0.21935193","582.0","Marcher"
"2","0.87151605","6.407079","-7.2977495","1.1631962","0.74885786","-0.21935193","584.0","Marcher"
"2","-0.06943397","10.13736","1.5874043","1.1631962","0.74885786","-0.21935193","585.0","Marcher"
"2","4.355186","8.420665","1.9561225","1.1631962","0.74885786","-0.21935193","587.0","Marcher"
"2","4.355186","8.420665","1.9561225","2.700744","-1.9077951","-2.5797353","713.0","Marcher"
"2","7.4964743","6.4932733","-2.3368123","2.700744","-1.9077951","-2.5797353","769.0","Marcher"
"2","4.163644","6.577073","2.7151077","2.700744","-1.9077951","-2.5797353","771.0","Marcher"
"2","-2.7941186","7.7478733","8.178843","2.700744","-1.9077951","-2.5797353","772.0","Marcher"
"2","0.54828894","3.459727","-2.6121538","2.700744","-1.9077951","-2.5797353","774.0","Marcher"
"2","-1.4126221","4.723904","-8.964165","2.700744","-1.9077951","-2.5797353","775.0","Marcher"
"2","-20.57161","10.999298","-3.6464806","2.700744","-1.9077951","-2.5797353","777.0","Marcher"
"2","-5.751048","6.761432","-6.1077952","2.700744","-1.9077951","-2.5797353","778.0","Marcher"
"2","-1.4557191","6.612987","-6.0527267","2.700744","-1.9077951","-2.5797353","780.0","Marcher"
"2","-4.103787","9.665688","7.755056","2.700744","-1.9077951","-2.5797353","781.0","Marcher"
"2","0.5243462","8.657698","6.4765134","2.700744","-1.9077951","-2.5797353","783.0","Marcher"
"2","0.5243462","8.657698","6.4765134","0.9799366","0.7286993","1.825825","890.0","Marcher"
"2","0.7398309","7.728719","4.573065","0.9799366","0.7286993","1.825825","968.0","Marcher"
"2","2.004008","8.7822","-2.8252442","0.9799366","0.7286993","1.825825","970.0","Marcher"
"2","1.1037607","8.035186","-8.930645","0.9799366","0.7286993","1.825825","971.0","Marcher"
"2","-8.612206","8.305739","-9.170073","0.9799366","0.7286993","1.825825","973.0","Marcher"
"2","-0.35435268","7.867587","-9.452597","0.9799366","0.7286993","1.825825","974.0","Marcher"
"2","3.6560576","12.210801","-2.3368123","0.9799366","0.7286993","1.825825","975.0","Marcher"
"2","0.20590763","10.513261","-1.9561225","0.9799366","0.7286993","1.825825","977.0","Marcher"
"2","-2.3344178","8.889942","0.57223165","0.9799366","0.7286993","1.825825","979.0","Marcher"
"2","-3.572258","9.567522","0.8092649","0.9799366","0.7286993","1.825825","981.0","Marcher"
"2","-3.2562137","10.790997","-3.0024207","0.9799366","0.7286993","1.825825","982.0","Marcher"
"2","-3.2562137","10.790997","-3.0024207","-1.0072081","-0.6946167","-0.7611894","1071.0","Marcher"
