"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"1","0.0","0.0","0.0","-0.00808419","0.0069400403","0.0015027284","13.0","Immobile"
"1","0.0","0.0","0.0","-0.0074733254","0.0069400403","-3.2986724E-4","153.0","Immobile"
"1","0.1699935","-0.29210153","9.687236","-0.0074733254","0.0069400403","-3.2986724E-4","334.0","Immobile"
"1","0.1699935","-0.29210153","9.687236","-0.0044189994","0.002053118","-0.002162463","334.0","Immobile"
"1","0.1699935","-0.29210153","9.687236","-0.006251595","0.0038857139","-9.407325E-4","513.0","Immobile"
"1","0.21069619","-0.2777359","9.6896305","-0.006251595","0.0038857139","-9.407325E-4","533.0","Immobile"
"1","0.18914771","-0.25379312","9.665688","-0.006251595","0.0038857139","-9.407325E-4","533.0","Immobile"
"1","0.20351335","-0.30646718","9.672871","-0.006251595","0.0038857139","-9.407325E-4","534.0","Immobile"
"1","0.1987248","-0.29210153","9.663293","-0.006251595","0.0038857139","-9.407325E-4","534.0","Immobile"
"1","0.18435916","-0.28013015","9.680053","-0.006251595","0.0038857139","-9.407325E-4","534.0","Immobile"
"1","0.22745611","-0.2561874","9.672871","-0.006251595","0.0038857139","-9.407325E-4","535.0","Immobile"
"1","0.17238778","-0.27055305","9.677659","-0.006251595","0.0038857139","-9.407325E-4","535.0","Immobile"
"1","0.19154198","-0.2849187","9.670476","-0.006251595","0.0038857139","-9.407325E-4","535.0","Immobile"
"1","0.21069619","-0.2849187","9.668081","-0.006251595","0.0038857139","-9.407325E-4","535.0","Immobile"
"1","0.17238778","-0.27055305","9.682447","-0.006251595","0.0038857139","-9.407325E-4","536.0","Immobile"
"1","0.17238778","-0.27055305","9.682447","-0.00564073","0.0032748485","-0.0015515977","695.0","Immobile"
"1","0.1987248","-0.2849187","9.677659","-0.00564073","0.0032748485","-0.0015515977","734.0","Immobile"
"1","0.16759923","-0.25139886","9.665688","-0.00564073","0.0032748485","-0.0015515977","737.0","Immobile"
"1","0.17957062","-0.27055305","9.668081","-0.00564073","0.0032748485","-0.0015515977","739.0","Immobile"
"1","0.2083019","-0.25858167","9.653716","-0.00564073","0.0032748485","-0.0015515977","741.0","Immobile"
"1","0.18435916","-0.30167863","9.696813","-0.00564073","0.0032748485","-0.0015515977","743.0","Immobile"
"1","0.16520496","-0.29928434","9.699207","-0.00564073","0.0032748485","-0.0015515977","746.0","Immobile"
"1","0.22745611","-0.2561874","9.670476","-0.00564073","0.0032748485","-0.0015515977","748.0","Immobile"
"1","0.14605077","-0.2657645","9.672871","-0.00564073","0.0032748485","-0.0015515977","750.0","Immobile"
"1","0.18675344","-0.30167863","9.677659","-0.00564073","0.0032748485","-0.0015515977","752.0","Immobile"
"1","0.18914771","-0.2657645","9.675264","-0.00564073","0.0032748485","-0.0015515977","754.0","Immobile"
"1","0.18914771","-0.2657645","9.675264","-0.006251595","0.0038857139","-0.0015515977","875.0","Immobile"
"1","0.19633053","-0.30167863","9.687236","-0.006251595","0.0038857139","-0.0015515977","936.0","Immobile"
"1","0.19154198","-0.27055305","9.675264","-0.006251595","0.0038857139","-0.0015515977","938.0","Immobile"
"1","0.19633053","-0.31365","9.694419","-0.006251595","0.0038857139","-0.0015515977","939.0","Immobile"
"1","0.18196489","-0.2561874","9.70639","-0.006251595","0.0038857139","-0.0015515977","940.0","Immobile"
"1","0.18435916","-0.28731298","9.675264","-0.006251595","0.0038857139","-0.0015515977","942.0","Immobile"
"1","0.12929083","-0.29210153","9.6896305","-0.006251595","0.0038857139","-0.0015515977","943.0","Immobile"
"1","0.1987248","-0.28731298","9.663293","-0.006251595","0.0038857139","-0.0015515977","944.0","Immobile"
"1","0.22745611","-0.20351335","9.72315","-0.006251595","0.0038857139","-0.0015515977","945.0","Immobile"
"1","0.15802214","-0.38547826","9.629773","-0.006251595","0.0038857139","-0.0015515977","947.0","Immobile"
"1","0.2083019","-0.28970724","9.608225","-0.006251595","0.0038857139","-0.0015515977","948.0","Immobile"
"1","0.2083019","-0.28970724","9.608225","-0.0044189994","0.0026639833","-3.2986724E-4","1055.0","Immobile"
"1","0.19633053","-0.29928434","9.6896305","-0.0044189994","0.0026639833","-3.2986724E-4","1134.0","Immobile"
"1","0.1699935","-0.2753416","9.675264","-0.0044189994","0.0026639833","-3.2986724E-4","1135.0","Immobile"
"1","0.19393626","-0.2753416","9.668081","-0.0044189994","0.0026639833","-3.2986724E-4","1137.0","Immobile"
"1","0.15802214","-0.30646718","9.6896305","-0.0044189994","0.0026639833","-3.2986724E-4","1138.0","Immobile"
"1","0.2466103","-0.29210153","9.656111","-0.0044189994","0.0026639833","-3.2986724E-4","1139.0","Immobile"
"1","0.19393626","-0.23224466","9.694419","-0.0044189994","0.0026639833","-3.2986724E-4","1140.0","Immobile"
"1","0.24421602","-0.32801566","9.670476","-0.0044189994","0.0026639833","-3.2986724E-4","1142.0","Immobile"
"1","0.15083931","-0.32083282","9.684841","-0.0044189994","0.0026639833","-3.2986724E-4","1143.0","Immobile"
"1","0.19393626","-0.2849187","9.675264","-0.0044189994","0.0026639833","-3.2986724E-4","1144.0","Immobile"
"1","0.21309046","-0.25858167","9.6585045","-0.0044189994","0.0026639833","-3.2986724E-4","1145.0","Immobile"
"1","0.21309046","-0.25858167","9.6585045","-0.0031972688","0.0032748485","-9.407325E-4","1236.0","Immobile"
"1","0.19393626","-0.29928434","9.708784","-0.0031972688","0.0032748485","-9.407325E-4","1335.0","Immobile"
"1","0.17957062","-0.3304099","9.703996","-0.0031972688","0.0032748485","-9.407325E-4","1336.0","Immobile"
"1","0.1699935","-0.28013015","9.687236","-0.0031972688","0.0032748485","-9.407325E-4","1338.0","Immobile"
"1","0.2561874","-0.25379312","9.694419","-0.0031972688","0.0032748485","-9.407325E-4","1339.0","Immobile"
"1","0.16759923","-0.23463893","9.6896305","-0.0031972688","0.0032748485","-9.407325E-4","1340.0","Immobile"
"1","0.20590763","-0.34477556","9.665688","-0.0031972688","0.0032748485","-9.407325E-4","1342.0","Immobile"
"1","0.11971374","-0.2753416","9.660899","-0.0031972688","0.0032748485","-9.407325E-4","1343.0","Immobile"
"1","0.24182175","-0.25139886","9.668081","-0.0031972688","0.0032748485","-9.407325E-4","1344.0","Immobile"
