"userId","dX-acc","dY-acc","dZ-acc","dX-gyr","dY-gyr","dZ-gyr","time","activityType"
"2","2.5283542","4.7741838","5.334444","0.0","0.0","0.0","335.0","Descendre"
"2","2.5283542","4.7741838","5.334444","1.1369289","-0.77586174","-0.5791516","336.0","Descendre"
"2","2.5283542","4.7741838","5.334444","0.4594794","0.18075319","0.06775473","515.0","Descendre"
"2","2.5283542","4.7741838","5.334444","0.4594794","0.18075319","0.06775473","533.0","Descendre"
"2","2.5283542","4.7741838","5.334444","0.4594794","0.18075319","0.06775473","534.0","Descendre"
"2","5.3033185","6.876357","2.2338583","0.4594794","0.18075319","0.06775473","534.0","Descendre"
"2","5.4086666","7.0319853","1.333611","0.4594794","0.18075319","0.06775473","534.0","Descendre"
"2","5.569083","7.108602","1.3982565","0.4594794","0.18075319","0.06775473","534.0","Descendre"
"2","5.138114","8.0926485","1.5083932","0.4594794","0.18075319","0.06775473","534.0","Descendre"
"2","4.6712303","8.851634","1.5802214","0.4594794","0.18075319","0.06775473","535.0","Descendre"
"2","4.216318","9.122187","2.1093562","0.4594794","0.18075319","0.06775473","535.0","Descendre"
"2","3.6823947","9.373586","2.0159793","0.4594794","0.18075319","0.06775473","535.0","Descendre"
"2","3.833234","9.024022","1.6975409","0.4594794","0.18075319","0.06775473","535.0","Descendre"
"2","3.833234","9.024022","1.6975409","0.8669265","0.03964332","0.09585453","700.0","Descendre"
"2","3.6369035","9.1628895","0.845179","0.8669265","0.03964332","0.09585453","736.0","Descendre"
"2","4.1349125","8.511647","0.6488485","0.8669265","0.03964332","0.09585453","738.0","Descendre"
"2","3.4908526","9.201198","0.36871833","0.8669265","0.03964332","0.09585453","739.0","Descendre"
"2","3.7422516","9.287392","0.43815228","0.8669265","0.03964332","0.09585453","746.0","Descendre"
"2","4.0822387","9.373586","0.5794145","0.8669265","0.03964332","0.09585453","748.0","Descendre"
"2","4.070267","8.9976845","0.3615355","0.8669265","0.03964332","0.09585453","750.0","Descendre"
"2","4.3863115","8.631361","2.0973847","0.8669265","0.03964332","0.09585453","753.0","Descendre"
"2","4.436591","8.763046","2.82285","0.8669265","0.03964332","0.09585453","755.0","Descendre"
"2","4.625739","8.379962","1.2737542","0.8669265","0.03964332","0.09585453","758.0","Descendre"
"2","4.6927786","8.372779","0.18435916","0.8669265","0.03964332","0.09585453","760.0","Descendre"
"2","4.6927786","8.372779","0.18435916","0.82844204","0.15204252","-0.55288434","877.0","Descendre"
"2","4.6113734","8.463761","0.37111259","0.82844204","0.15204252","-0.55288434","940.0","Descendre"
"2","4.149278","8.566715","0.22745611","0.82844204","0.15204252","-0.55288434","943.0","Descendre"
